,time,T18,T19,T20,T21
441,49959,22.0438,22.1719,5.88366,21.9062
442,49960,22.0377,22.1875,5.85996,21.9468
443,49961,22.0562,22.1717,5.86984,22.0
444,49962,22.0549,22.1562,5.85945,21.9595
445,49963,22.0634,22.1403,5.84883,21.9779
446,49964,22.0699,22.1715,5.8421199999999995,21.9688
447,49967,22.0849,22.1562,5.82685,21.8438
448,49968,22.0959,22.1875,5.8159,21.8037
449,49969,22.1019,22.1712,5.826230000000001,21.75
450,49970,22.1044,22.1577,5.807,21.7188
451,49971,22.0897,22.1019,5.78984,21.7188
452,49972,22.1114,22.0625,5.79633,21.6789
453,49973,22.1156,22.0772,5.79633,21.6959
454,49974,22.1177,22.1103,5.7916300000000005,21.7585
455,49975,22.1031,22.0792,5.77498,21.8041
456,49976,22.1286,22.076999999999998,5.785480000000001,21.8043
457,49977,22.1287,22.125,5.78526,21.8438
458,49978,22.1391,22.1562,5.78469,21.875
459,49979,22.1416,22.125,5.7677,21.8198
460,49980,22.1568,22.1562,5.77223,21.7188
461,49981,22.1677,22.1705,5.77005,21.6643
462,49982,22.1653,22.1492,5.7609900000000005,21.6953
463,49983,22.1742,22.125,5.76719,21.7579
464,49984,22.1615,22.125,5.73315,21.7967
465,49985,22.1829,22.1562,5.74366,21.7812
466,49986,22.1806,22.1875,5.72834,21.7188
467,49987,22.1935,22.25,5.72834,21.7577
468,49988,22.2001,22.25,5.71106,21.82
469,49989,22.1962,22.2326,5.7176599999999995,21.8513
470,49992,22.2095,22.2188,5.7001,21.9062
471,49993,22.214000000000002,22.1428,5.69614,21.9136
472,49994,22.2268,22.1294,5.68965,21.9617
473,49995,22.2201,22.125,5.67824,21.9375
474,49996,22.2119,22.1117,5.66349,21.8991
475,49997,22.2204,22.0541,5.667619999999999,21.8612
476,49998,22.2209,21.9688,5.66394,21.8125
477,50001,22.2463,22.0938,5.65621,21.8125
478,50002,22.2533,22.0625,5.65029,21.7812
479,50003,22.2568,22.068,5.63681,21.8125
480,50004,22.2591,22.0625,5.628369999999999,21.8438
481,50005,22.2419,22.1065,5.61099,21.8372
482,50006,22.2593,22.1123,5.6089199999999995,21.7749
483,50007,22.259,22.0811,5.6018099999999995,21.75
484,50008,22.2676,22.0248,5.60376,21.7564
485,50009,22.2444,21.9875,5.58063,21.7751
486,50010,22.2654,21.925,5.5889,21.75
487,50011,22.2595,21.9004,5.57817,21.7126
488,50012,22.2701,21.8561,5.58219,21.6875
489,50013,22.2642,21.8873,5.57001,21.6814
490,50014,22.2708,21.9306,5.57174,21.6683
491,50015,22.2577,22.0,5.55441,21.7245
492,50016,22.2703,21.9809,5.562790000000001,21.7559
493,50017,22.2619,21.9628,5.54362,21.7812
494,50018,22.247,21.9375,5.54563,21.7701
495,50019,22.2555,21.9062,5.536569999999999,21.6506
496,50020,22.2696,21.875,5.53835,21.5625
497,50021,22.2616,21.8555,5.53892,21.5938
498,50022,22.2549,21.8945,5.54288,21.5938
499,50023,22.2639,21.8634,5.5392,21.5571
500,50024,22.2549,21.8207,5.54076,21.5312
501,50025,22.2591,21.7812,5.54305,21.5678
502,50026,22.2485,21.7728,5.5216400000000005,21.599
503,50027,22.2466,21.8011,5.51757,21.62
504,50028,22.2416,21.7756,5.52733,21.5625
505,50029,22.2353,21.7275,5.53187,21.5312
506,50030,22.2245,21.6763,5.50409,21.5264
507,50031,22.229,21.6674,5.52538,21.5312
508,50032,22.2246,21.6986,5.5105699999999995,21.5674
509,50033,22.2224,21.7078,5.5060400000000005,21.6562
510,50034,22.2138,21.7188,5.49771,21.6923
511,50035,22.214000000000002,21.6875,5.50454,21.7094
512,50036,22.2012,21.7295,5.48715,21.6205
513,50037,22.2223,21.8125,5.486759999999999,21.5671
514,50038,22.2035,21.8125,5.4764800000000005,21.625
515,50039,22.2052,21.8125,5.475969999999999,21.6428
516,50040,22.2052,21.8438,5.46523,21.6562
517,50041,22.2051,21.8543,5.48435,21.6606
518,50042,22.2115,21.9271,5.4711,21.6875
519,50043,22.2115,21.9792,5.46254,21.7457
520,50044,22.2248,21.9794,5.48021,21.7229
521,50045,22.2179,21.9062,5.48384,21.75
522,50046,22.2199,21.854,5.4882,21.7541
523,50047,22.2118,21.8961,5.4692,21.75
524,50048,22.2286,21.875,5.47339,21.715
525,50049,22.2178,21.8438,5.46863,21.67
526,50050,22.2072,21.9062,5.45359,21.6562
527,50051,22.2114,21.9013,5.44337,21.6598
528,50052,22.2246,21.875,5.46857,21.6875
529,50053,22.2178,21.8847,5.4557199999999995,21.6875
530,50054,22.2309,21.916,5.4596800000000005,21.6596
531,50055,22.2098,21.9472,5.434480000000001,21.7152
532,50056,22.229,21.9471,5.43666,21.7153
533,50057,22.2355,21.9783,5.4471099999999995,21.6844
534,50058,22.2461,22.0312,5.4471099999999995,21.625
535,50061,22.2291,21.9781,5.41939,21.6562
536,50062,22.2333,21.9062,5.42961,21.6532
537,50063,22.226999999999997,21.9062,5.40407,21.6278
538,50064,22.2288,21.9467,5.40613,21.6562
539,50065,22.2271,21.9375,5.39328,21.6875
540,50066,22.2459,21.9285,5.42508,21.6224
541,50067,22.2375,21.9465,5.40814,21.590999999999998
542,50068,22.2474,21.9375,5.41004,21.5339
543,50069,22.2485,21.9287,5.40177,21.5312
544,50070,22.2396,21.9688,5.38628,21.5625
545,50071,22.2484,22.0,5.37303,21.5962
546,50072,22.2354,21.9828,5.357880000000001,21.6272
547,50077,22.2356,21.8042,5.3205800000000005,21.5
548,50078,22.2396,21.7895,5.32041,21.4669
549,50079,22.2334,21.8355,5.29068,21.4062
550,50082,22.2378,21.875,5.279380000000001,21.4706
551,50083,22.2357,21.9062,5.27462,21.5296
